unicode,gardiner,translit,english
X03EB,SYN-03EB,,
X03EC,SYN-03EC,,
X03ED,SYN-03ED,,
X03EE,SYN-03EE,,
X03EF,SYN-03EF,,
X03F0,SYN-03F0,,
X03F1,SYN-03F1,,
X03F2,SYN-03F2,,
X03F3,SYN-03F3,,
X03F4,SYN-03F4,,
X03F5,SYN-03F5,,
X03F6,SYN-03F6,,
X03F7,SYN-03F7,,
X03F8,SYN-03F8,,
X03F9,SYN-03F9,,
X03FA,SYN-03FA,,
X03FB,SYN-03FB,,
X03FC,SYN-03FC,,
X03FD,SYN-03FD,,
X03FE,SYN-03FE,,
X03FF,SYN-03FF,,
X0400,SYN-0400,,
X0401,SYN-0401,,
X0402,SYN-0402,,
X0403,SYN-0403,,
X0404,SYN-0404,,
X0405,SYN-0405,,
X0406,SYN-0406,,
X0407,SYN-0407,,
X0408,SYN-0408,,
X0409,SYN-0409,,
X040A,SYN-040A,,
X040B,SYN-040B,,
X040C,SYN-040C,,
X040D,SYN-040D,,
X040E,SYN-040E,,
X040F,SYN-040F,,
X0410,SYN-0410,,
X0411,SYN-0411,,
X0412,SYN-0412,,
X0413,SYN-0413,,
X0414,SYN-0414,,
X0415,SYN-0415,,
X0416,SYN-0416,,
X0417,SYN-0417,,
X0418,SYN-0418,,
X0419,SYN-0419,,
X041A,SYN-041A,,
X041B,SYN-041B,,
X041C,SYN-041C,,
X041D,SYN-041D,,
X041E,SYN-041E,,
X041F,SYN-041F,,
X0420,SYN-0420,,
X0421,SYN-0421,,
X0422,SYN-0422,,
X0423,SYN-0423,,
X0424,SYN-0424,,
X0425,SYN-0425,,
X0426,SYN-0426,,
X0427,SYN-0427,,
X0428,SYN-0428,,
X0429,SYN-0429,,
X042A,SYN-042A,,
X042B,SYN-042B,,
X042C,SYN-042C,,
X042D,SYN-042D,,
X042E,SYN-042E,,
X042F,SYN-042F,,
X0430,SYN-0430,,
X0431,SYN-0431,,
X0432,SYN-0432,,
X0433,SYN-0433,,
X0434,SYN-0434,,
X0435,SYN-0435,,
X0436,SYN-0436,,
X0437,SYN-0437,,
X0438,SYN-0438,,
X0439,SYN-0439,,
X043A,SYN-043A,,
X043B,SYN-043B,,
X043C,SYN-043C,,
X043D,SYN-043D,,
X043E,SYN-043E,,
X043F,SYN-043F,,
X0440,SYN-0440,,
X0441,SYN-0441,,
X0442,SYN-0442,,
X0443,SYN-0443,,
X0444,SYN-0444,,
X0445,SYN-0445,,
X0446,SYN-0446,,
X0447,SYN-0447,,
X0448,SYN-0448,,
X0449,SYN-0449,,
X044A,SYN-044A,,
X044B,SYN-044B,,
X044C,SYN-044C,,
X044D,SYN-044D,,
X044E,SYN-044E,,
X044F,SYN-044F,,
X0450,SYN-0450,,
X0451,SYN-0451,,
X0452,SYN-0452,,
X0453,SYN-0453,,
X0454,SYN-0454,,
X0455,SYN-0455,,
X0456,SYN-0456,,
X0457,SYN-0457,,
X0458,SYN-0458,,
X0459,SYN-0459,,
X045A,SYN-045A,,
X045B,SYN-045B,,
X045C,SYN-045C,,
X045D,SYN-045D,,
X045E,SYN-045E,,
X045F,SYN-045F,,
X0460,SYN-0460,,
X0461,SYN-0461,,
X0462,SYN-0462,,
X0463,SYN-0463,,
X0464,SYN-0464,,
X0465,SYN-0465,,
X0466,SYN-0466,,
X0467,SYN-0467,,
X0468,SYN-0468,,
X0469,SYN-0469,,
X046A,SYN-046A,,
X046B,SYN-046B,,
X046C,SYN-046C,,
X046D,SYN-046D,,
X046E,SYN-046E,,
X046F,SYN-046F,,
X0470,SYN-0470,,
X0471,SYN-0471,,
X0472,SYN-0472,,
X0473,SYN-0473,,
X0474,SYN-0474,,
X0475,SYN-0475,,
X0476,SYN-0476,,
X0477,SYN-0477,,
X0478,SYN-0478,,
X0479,SYN-0479,,
X047A,SYN-047A,,
X047B,SYN-047B,,
X047C,SYN-047C,,
X047D,SYN-047D,,
X047E,SYN-047E,,
X047F,SYN-047F,,
X0480,SYN-0480,,
X0481,SYN-0481,,
X0482,SYN-0482,,
X0483,SYN-0483,,
X0484,SYN-0484,,
X0485,SYN-0485,,
X0486,SYN-0486,,
X0487,SYN-0487,,
X0488,SYN-0488,,
X0489,SYN-0489,,
X048A,SYN-048A,,
X048B,SYN-048B,,
X048C,SYN-048C,,
X048D,SYN-048D,,
X048E,SYN-048E,,
X048F,SYN-048F,,
X0490,SYN-0490,,
X0491,SYN-0491,,
X0492,SYN-0492,,
X0493,SYN-0493,,
X0494,SYN-0494,,
X0495,SYN-0495,,
X0496,SYN-0496,,
X0497,SYN-0497,,
X0498,SYN-0498,,
X0499,SYN-0499,,
X049A,SYN-049A,,
X049B,SYN-049B,,
X049C,SYN-049C,,
X049D,SYN-049D,,
X049E,SYN-049E,,
X049F,SYN-049F,,
X04A0,SYN-04A0,,
X04A1,SYN-04A1,,
X04A2,SYN-04A2,,
X04A3,SYN-04A3,,
X04A4,SYN-04A4,,
X04A5,SYN-04A5,,
X04A6,SYN-04A6,,
X04A7,SYN-04A7,,
X04A8,SYN-04A8,,
X04A9,SYN-04A9,,
X04AA,SYN-04AA,,
X04AB,SYN-04AB,,
X04AC,SYN-04AC,,
X04AD,SYN-04AD,,
X04AE,SYN-04AE,,
X04AF,SYN-04AF,,
X04B0,SYN-04B0,,
X04B1,SYN-04B1,,
X04B2,SYN-04B2,,
X04B3,SYN-04B3,,
X04B4,SYN-04B4,,
X04B5,SYN-04B5,,
X04B6,SYN-04B6,,
X04B7,SYN-04B7,,
X04B8,SYN-04B8,,
X04B9,SYN-04B9,,
X04BA,SYN-04BA,,
X04BB,SYN-04BB,,
X04BC,SYN-04BC,,
X04BD,SYN-04BD,,
X04BE,SYN-04BE,,
X04BF,SYN-04BF,,
X04C0,SYN-04C0,,
X04C1,SYN-04C1,,
X04C2,SYN-04C2,,
X04C3,SYN-04C3,,
X04C4,SYN-04C4,,
X04C5,SYN-04C5,,
X04C6,SYN-04C6,,
X04C7,SYN-04C7,,
X04C8,SYN-04C8,,
X04C9,SYN-04C9,,
X04CA,SYN-04CA,,
X04CB,SYN-04CB,,
X04CC,SYN-04CC,,
X04CD,SYN-04CD,,
X04CE,SYN-04CE,,
X04CF,SYN-04CF,,
X04D0,SYN-04D0,,
X04D1,SYN-04D1,,
X04D2,SYN-04D2,,
X04D3,SYN-04D3,,
X04D4,SYN-04D4,,
X04D5,SYN-04D5,,
X04D6,SYN-04D6,,
X04D7,SYN-04D7,,
X04D8,SYN-04D8,,
X04D9,SYN-04D9,,
X04DA,SYN-04DA,,
X04DB,SYN-04DB,,
X04DC,SYN-04DC,,
X04DD,SYN-04DD,,
X04DE,SYN-04DE,,
X04DF,SYN-04DF,,
X04E0,SYN-04E0,,
X04E1,SYN-04E1,,
X04E2,SYN-04E2,,
X04E3,SYN-04E3,,
X04E4,SYN-04E4,,
X04E5,SYN-04E5,,
X04E6,SYN-04E6,,
X04E7,SYN-04E7,,
X04E8,SYN-04E8,,
X04E9,SYN-04E9,,
X04EA,SYN-04EA,,
X04EB,SYN-04EB,,
X04EC,SYN-04EC,,
X04ED,SYN-04ED,,
X04EE,SYN-04EE,,
X04EF,SYN-04EF,,
X04F0,SYN-04F0,,
X04F1,SYN-04F1,,
X04F2,SYN-04F2,,
X04F3,SYN-04F3,,
X04F4,SYN-04F4,,
X04F5,SYN-04F5,,
X04F6,SYN-04F6,,
X04F7,SYN-04F7,,
X04F8,SYN-04F8,,
X04F9,SYN-04F9,,
X04FA,SYN-04FA,,
X04FB,SYN-04FB,,
X04FC,SYN-04FC,,
X04FD,SYN-04FD,,
X04FE,SYN-04FE,,
X04FF,SYN-04FF,,
X0500,SYN-0500,,
X0501,SYN-0501,,
X0502,SYN-0502,,
X0503,SYN-0503,,
X0504,SYN-0504,,
X0505,SYN-0505,,
X0506,SYN-0506,,
X0507,SYN-0507,,
X0508,SYN-0508,,
X0509,SYN-0509,,
X050A,SYN-050A,,
X050B,SYN-050B,,
X050C,SYN-050C,,
X050D,SYN-050D,,
X050E,SYN-050E,,
X050F,SYN-050F,,
X0510,SYN-0510,,
X0511,SYN-0511,,
X0512,SYN-0512,,
X0513,SYN-0513,,
X0514,SYN-0514,,
X0515,SYN-0515,,
X0516,SYN-0516,,
X0517,SYN-0517,,
X0518,SYN-0518,,
X0519,SYN-0519,,
X051A,SYN-051A,,
X051B,SYN-051B,,
X051C,SYN-051C,,
X051D,SYN-051D,,
X051E,SYN-051E,,
X051F,SYN-051F,,
X0520,SYN-0520,,
X0521,SYN-0521,,
X0522,SYN-0522,,
X0523,SYN-0523,,
X0524,SYN-0524,,
X0525,SYN-0525,,
X0526,SYN-0526,,
X0527,SYN-0527,,
X0528,SYN-0528,,
X0529,SYN-0529,,
X052A,SYN-052A,,
X052B,SYN-052B,,
X052C,SYN-052C,,
X052D,SYN-052D,,
X052E,SYN-052E,,
X052F,SYN-052F,,
X0530,SYN-0530,,
X0531,SYN-0531,,
X0532,SYN-0532,,
X0533,SYN-0533,,
X0534,SYN-0534,,
X0535,SYN-0535,,
X0536,SYN-0536,,
X0537,SYN-0537,,
X0538,SYN-0538,,
X0539,SYN-0539,,
X053A,SYN-053A,,
X053B,SYN-053B,,
X053C,SYN-053C,,
X053D,SYN-053D,,
X053E,SYN-053E,,
X053F,SYN-053F,,
X0540,SYN-0540,,
X0541,SYN-0541,,
X0542,SYN-0542,,
X0543,SYN-0543,,
X0544,SYN-0544,,
X0545,SYN-0545,,
X0546,SYN-0546,,
X0547,SYN-0547,,
X0548,SYN-0548,,
X0549,SYN-0549,,
X054A,SYN-054A,,
X054B,SYN-054B,,
X054C,SYN-054C,,
X054D,SYN-054D,,
X054E,SYN-054E,,
X054F,SYN-054F,,
X0550,SYN-0550,,
X0551,SYN-0551,,
X0552,SYN-0552,,
X0553,SYN-0553,,
X0554,SYN-0554,,
X0555,SYN-0555,,
X0556,SYN-0556,,
X0557,SYN-0557,,
X0558,SYN-0558,,
X0559,SYN-0559,,
X055A,SYN-055A,,
X055B,SYN-055B,,
X055C,SYN-055C,,
X055D,SYN-055D,,
X055E,SYN-055E,,
X055F,SYN-055F,,
X0560,SYN-0560,,
X0561,SYN-0561,,
X0562,SYN-0562,,
X0563,SYN-0563,,
X0564,SYN-0564,,
X0565,SYN-0565,,
X0566,SYN-0566,,
X0567,SYN-0567,,
X0568,SYN-0568,,
X0569,SYN-0569,,
X056A,SYN-056A,,
X056B,SYN-056B,,
X056C,SYN-056C,,
X056D,SYN-056D,,
X056E,SYN-056E,,
X056F,SYN-056F,,
X0570,SYN-0570,,
X0571,SYN-0571,,
X0572,SYN-0572,,
X0573,SYN-0573,,
X0574,SYN-0574,,
X0575,SYN-0575,,
X0576,SYN-0576,,
X0577,SYN-0577,,
X0578,SYN-0578,,
X0579,SYN-0579,,
X057A,SYN-057A,,
X057B,SYN-057B,,
X057C,SYN-057C,,
X057D,SYN-057D,,
X057E,SYN-057E,,
X057F,SYN-057F,,
X0580,SYN-0580,,
X0581,SYN-0581,,
X0582,SYN-0582,,
X0583,SYN-0583,,
X0584,SYN-0584,,
X0585,SYN-0585,,
X0586,SYN-0586,,
X0587,SYN-0587,,
X0588,SYN-0588,,
X0589,SYN-0589,,
X058A,SYN-058A,,
X058B,SYN-058B,,
X058C,SYN-058C,,
X058D,SYN-058D,,
X058E,SYN-058E,,
X058F,SYN-058F,,
X0590,SYN-0590,,
X0591,SYN-0591,,
X0592,SYN-0592,,
X0593,SYN-0593,,
X0594,SYN-0594,,
X0595,SYN-0595,,
X0596,SYN-0596,,
X0597,SYN-0597,,
X0598,SYN-0598,,
X0599,SYN-0599,,
X059A,SYN-059A,,
X059B,SYN-059B,,
X059C,SYN-059C,,
X059D,SYN-059D,,
X059E,SYN-059E,,
X059F,SYN-059F,,
X05A0,SYN-05A0,,
X05A1,SYN-05A1,,
X05A2,SYN-05A2,,
X05A3,SYN-05A3,,
X05A4,SYN-05A4,,
X05A5,SYN-05A5,,
X05A6,SYN-05A6,,
X05A7,SYN-05A7,,
X05A8,SYN-05A8,,
X05A9,SYN-05A9,,
X05AA,SYN-05AA,,
X05AB,SYN-05AB,,
X05AC,SYN-05AC,,
X05AD,SYN-05AD,,
X05AE,SYN-05AE,,
X05AF,SYN-05AF,,
X05B0,SYN-05B0,,
X05B1,SYN-05B1,,
X05B2,SYN-05B2,,
X05B3,SYN-05B3,,
X05B4,SYN-05B4,,
X05B5,SYN-05B5,,
X05B6,SYN-05B6,,
X05B7,SYN-05B7,,
X05B8,SYN-05B8,,
X05B9,SYN-05B9,,
X05BA,SYN-05BA,,
X05BB,SYN-05BB,,
X05BC,SYN-05BC,,
X05BD,SYN-05BD,,
X05BE,SYN-05BE,,
X05BF,SYN-05BF,,
X05C0,SYN-05C0,,
X05C1,SYN-05C1,,
X05C2,SYN-05C2,,
X05C3,SYN-05C3,,
X05C4,SYN-05C4,,
X05C5,SYN-05C5,,
X05C6,SYN-05C6,,
X05C7,SYN-05C7,,
X05C8,SYN-05C8,,
X05C9,SYN-05C9,,
X05CA,SYN-05CA,,
X05CB,SYN-05CB,,
X05CC,SYN-05CC,,
X05CD,SYN-05CD,,
X05CE,SYN-05CE,,
X05CF,SYN-05CF,,
X05D0,SYN-05D0,,
X05D1,SYN-05D1,,
X05D2,SYN-05D2,,
X05D3,SYN-05D3,,
X05D4,SYN-05D4,,
X05D5,SYN-05D5,,
X05D6,SYN-05D6,,
X05D7,SYN-05D7,,
X05D8,SYN-05D8,,
X05D9,SYN-05D9,,
X05DA,SYN-05DA,,
X05DB,SYN-05DB,,
X05DC,SYN-05DC,,
X05DD,SYN-05DD,,
X05DE,SYN-05DE,,
X05DF,SYN-05DF,,
X05E0,SYN-05E0,,
X05E1,SYN-05E1,,
X05E2,SYN-05E2,,
X05E3,SYN-05E3,,
X05E4,SYN-05E4,,
X05E5,SYN-05E5,,
X05E6,SYN-05E6,,
X05E7,SYN-05E7,,
X05E8,SYN-05E8,,
X05E9,SYN-05E9,,
X05EA,SYN-05EA,,
X05EB,SYN-05EB,,
X05EC,SYN-05EC,,
X05ED,SYN-05ED,,
X05EE,SYN-05EE,,
X05EF,SYN-05EF,,
X05F0,SYN-05F0,,
X05F1,SYN-05F1,,
X05F2,SYN-05F2,,
X05F3,SYN-05F3,,
X05F4,SYN-05F4,,
X05F5,SYN-05F5,,
X05F6,SYN-05F6,,
X05F7,SYN-05F7,,
X05F8,SYN-05F8,,
X05F9,SYN-05F9,,
X05FA,SYN-05FA,,
X05FB,SYN-05FB,,
X05FC,SYN-05FC,,
X05FD,SYN-05FD,,
X05FE,SYN-05FE,,
X05FF,SYN-05FF,,
X0600,SYN-0600,,
X0601,SYN-0601,,
X0602,SYN-0602,,
X0603,SYN-0603,,
X0604,SYN-0604,,
X0605,SYN-0605,,
X0606,SYN-0606,,
X0607,SYN-0607,,
X0608,SYN-0608,,
X0609,SYN-0609,,
X060A,SYN-060A,,
X060B,SYN-060B,,
X060C,SYN-060C,,
X060D,SYN-060D,,
X060E,SYN-060E,,
X060F,SYN-060F,,
X0610,SYN-0610,,
X0611,SYN-0611,,
X0612,SYN-0612,,
X0613,SYN-0613,,
X0614,SYN-0614,,
X0615,SYN-0615,,
X0616,SYN-0616,,
X0617,SYN-0617,,
X0618,SYN-0618,,
X0619,SYN-0619,,
X061A,SYN-061A,,
X061B,SYN-061B,,
X061C,SYN-061C,,
X061D,SYN-061D,,
X061E,SYN-061E,,
X061F,SYN-061F,,
X0620,SYN-0620,,
X0621,SYN-0621,,
X0622,SYN-0622,,
X0623,SYN-0623,,
X0624,SYN-0624,,
X0625,SYN-0625,,
X0626,SYN-0626,,
X0627,SYN-0627,,
X0628,SYN-0628,,
X0629,SYN-0629,,
X062A,SYN-062A,,
X062B,SYN-062B,,
X062C,SYN-062C,,
X062D,SYN-062D,,
X062E,SYN-062E,,
X062F,SYN-062F,,
X0630,SYN-0630,,
X0631,SYN-0631,,
X0632,SYN-0632,,
X0633,SYN-0633,,
X0634,SYN-0634,,
X0635,SYN-0635,,
X0636,SYN-0636,,
X0637,SYN-0637,,
X0638,SYN-0638,,
X0639,SYN-0639,,
X063A,SYN-063A,,
X063B,SYN-063B,,
X063C,SYN-063C,,
X063D,SYN-063D,,
X063E,SYN-063E,,
X063F,SYN-063F,,
X0640,SYN-0640,,
X0641,SYN-0641,,
X0642,SYN-0642,,
X0643,SYN-0643,,
X0644,SYN-0644,,
X0645,SYN-0645,,
X0646,SYN-0646,,
X0647,SYN-0647,,
X0648,SYN-0648,,
X0649,SYN-0649,,
X064A,SYN-064A,,
X064B,SYN-064B,,
X064C,SYN-064C,,
X064D,SYN-064D,,
X064E,SYN-064E,,
X064F,SYN-064F,,
X0650,SYN-0650,,
X0651,SYN-0651,,
X0652,SYN-0652,,
X0653,SYN-0653,,
X0654,SYN-0654,,
X0655,SYN-0655,,
X0656,SYN-0656,,
X0657,SYN-0657,,
X0658,SYN-0658,,
X0659,SYN-0659,,
X065A,SYN-065A,,
X065B,SYN-065B,,
X065C,SYN-065C,,
X065D,SYN-065D,,
X065E,SYN-065E,,
X065F,SYN-065F,,
X0660,SYN-0660,,
X0661,SYN-0661,,
X0662,SYN-0662,,
X0663,SYN-0663,,
X0664,SYN-0664,,
X0665,SYN-0665,,
X0666,SYN-0666,,
X0667,SYN-0667,,
X0668,SYN-0668,,
X0669,SYN-0669,,
X066A,SYN-066A,,
X066B,SYN-066B,,
X066C,SYN-066C,,
X066D,SYN-066D,,
X066E,SYN-066E,,
X066F,SYN-066F,,
X0670,SYN-0670,,
X0671,SYN-0671,,
X0672,SYN-0672,,
X0673,SYN-0673,,
X0674,SYN-0674,,
X0675,SYN-0675,,
X0676,SYN-0676,,
X0677,SYN-0677,,
X0678,SYN-0678,,
X0679,SYN-0679,,
X067A,SYN-067A,,
X067B,SYN-067B,,
X067C,SYN-067C,,
X067D,SYN-067D,,
X067E,SYN-067E,,
X067F,SYN-067F,,
X0680,SYN-0680,,
X0681,SYN-0681,,
X0682,SYN-0682,,
X0683,SYN-0683,,
X0684,SYN-0684,,
X0685,SYN-0685,,
X0686,SYN-0686,,
X0687,SYN-0687,,
X0688,SYN-0688,,
X0689,SYN-0689,,
X068A,SYN-068A,,
X068B,SYN-068B,,
X068C,SYN-068C,,
X068D,SYN-068D,,
X068E,SYN-068E,,
X068F,SYN-068F,,
X0690,SYN-0690,,
X0691,SYN-0691,,
X0692,SYN-0692,,
X0693,SYN-0693,,
X0694,SYN-0694,,
X0695,SYN-0695,,
X0696,SYN-0696,,
X0697,SYN-0697,,
X0698,SYN-0698,,
X0699,SYN-0699,,
X069A,SYN-069A,,
X069B,SYN-069B,,
X069C,SYN-069C,,
X069D,SYN-069D,,
X069E,SYN-069E,,
X069F,SYN-069F,,
X06A0,SYN-06A0,,
X06A1,SYN-06A1,,
X06A2,SYN-06A2,,
X06A3,SYN-06A3,,
X06A4,SYN-06A4,,
X06A5,SYN-06A5,,
X06A6,SYN-06A6,,
X06A7,SYN-06A7,,
X06A8,SYN-06A8,,
X06A9,SYN-06A9,,
X06AA,SYN-06AA,,
X06AB,SYN-06AB,,
X06AC,SYN-06AC,,
X06AD,SYN-06AD,,
X06AE,SYN-06AE,,
X06AF,SYN-06AF,,
X06B0,SYN-06B0,,
X06B1,SYN-06B1,,
X06B2,SYN-06B2,,
X06B3,SYN-06B3,,
X06B4,SYN-06B4,,
X06B5,SYN-06B5,,
X06B6,SYN-06B6,,
X06B7,SYN-06B7,,
X06B8,SYN-06B8,,
X06B9,SYN-06B9,,
X06BA,SYN-06BA,,
X06BB,SYN-06BB,,
X06BC,SYN-06BC,,
X06BD,SYN-06BD,,
X06BE,SYN-06BE,,
X06BF,SYN-06BF,,
X06C0,SYN-06C0,,
X06C1,SYN-06C1,,
X06C2,SYN-06C2,,
X06C3,SYN-06C3,,
X06C4,SYN-06C4,,
X06C5,SYN-06C5,,
X06C6,SYN-06C6,,
X06C7,SYN-06C7,,
X06C8,SYN-06C8,,
X06C9,SYN-06C9,,
X06CA,SYN-06CA,,
X06CB,SYN-06CB,,
X06CC,SYN-06CC,,
X06CD,SYN-06CD,,
X06CE,SYN-06CE,,
X06CF,SYN-06CF,,
X06D0,SYN-06D0,,
X06D1,SYN-06D1,,
X06D2,SYN-06D2,,
X06D3,SYN-06D3,,
X06D4,SYN-06D4,,
X06D5,SYN-06D5,,
X06D6,SYN-06D6,,
X06D7,SYN-06D7,,
X06D8,SYN-06D8,,
X06D9,SYN-06D9,,
X06DA,SYN-06DA,,
X06DB,SYN-06DB,,
X06DC,SYN-06DC,,
X06DD,SYN-06DD,,
X06DE,SYN-06DE,,
X06DF,SYN-06DF,,
X06E0,SYN-06E0,,
X06E1,SYN-06E1,,
X06E2,SYN-06E2,,
X06E3,SYN-06E3,,
X06E4,SYN-06E4,,
X06E5,SYN-06E5,,
X06E6,SYN-06E6,,
X06E7,SYN-06E7,,
X06E8,SYN-06E8,,
X06E9,SYN-06E9,,
X06EA,SYN-06EA,,
X06EB,SYN-06EB,,
X06EC,SYN-06EC,,
X06ED,SYN-06ED,,
X06EE,SYN-06EE,,
X06EF,SYN-06EF,,
X06F0,SYN-06F0,,
X06F1,SYN-06F1,,
X06F2,SYN-06F2,,
X06F3,SYN-06F3,,
X06F4,SYN-06F4,,
X06F5,SYN-06F5,,
X06F6,SYN-06F6,,
X06F7,SYN-06F7,,
X06F8,SYN-06F8,,
X06F9,SYN-06F9,,
X06FA,SYN-06FA,,
X06FB,SYN-06FB,,
X06FC,SYN-06FC,,
X06FD,SYN-06FD,,
X06FE,SYN-06FE,,
X06FF,SYN-06FF,,
X0700,SYN-0700,,
X0701,SYN-0701,,
X0702,SYN-0702,,
X0703,SYN-0703,,
X0704,SYN-0704,,
X0705,SYN-0705,,
X0706,SYN-0706,,
X0707,SYN-0707,,
X0708,SYN-0708,,
X0709,SYN-0709,,
X070A,SYN-070A,,
X070B,SYN-070B,,
X070C,SYN-070C,,
X070D,SYN-070D,,
X070E,SYN-070E,,
X070F,SYN-070F,,
X0710,SYN-0710,,
X0711,SYN-0711,,
X0712,SYN-0712,,
X0713,SYN-0713,,
X0714,SYN-0714,,
X0715,SYN-0715,,
X0716,SYN-0716,,
X0717,SYN-0717,,
X0718,SYN-0718,,
X0719,SYN-0719,,
X071A,SYN-071A,,
X071B,SYN-071B,,
X071C,SYN-071C,,
X071D,SYN-071D,,
X071E,SYN-071E,,
X071F,SYN-071F,,
X0720,SYN-0720,,
X0721,SYN-0721,,
X0722,SYN-0722,,
X0723,SYN-0723,,
X0724,SYN-0724,,
X0725,SYN-0725,,
X0726,SYN-0726,,
X0727,SYN-0727,,
X0728,SYN-0728,,
X0729,SYN-0729,,
X072A,SYN-072A,,
X072B,SYN-072B,,
X072C,SYN-072C,,
X072D,SYN-072D,,
X072E,SYN-072E,,
X072F,SYN-072F,,
X0730,SYN-0730,,
X0731,SYN-0731,,
X0732,SYN-0732,,
X0733,SYN-0733,,
X0734,SYN-0734,,
X0735,SYN-0735,,
X0736,SYN-0736,,
X0737,SYN-0737,,
X0738,SYN-0738,,
X0739,SYN-0739,,
X073A,SYN-073A,,
X073B,SYN-073B,,
X073C,SYN-073C,,
X073D,SYN-073D,,
X073E,SYN-073E,,
X073F,SYN-073F,,
X0740,SYN-0740,,
X0741,SYN-0741,,
X0742,SYN-0742,,
X0743,SYN-0743,,
X0744,SYN-0744,,
X0745,SYN-0745,,
X0746,SYN-0746,,
X0747,SYN-0747,,
X0748,SYN-0748,,
X0749,SYN-0749,,
X074A,SYN-074A,,
X074B,SYN-074B,,
X074C,SYN-074C,,
X074D,SYN-074D,,
X074E,SYN-074E,,
X074F,SYN-074F,,
X0750,SYN-0750,,
X0751,SYN-0751,,
X0752,SYN-0752,,
X0753,SYN-0753,,
X0754,SYN-0754,,
X0755,SYN-0755,,
X0756,SYN-0756,,
X0757,SYN-0757,,
X0758,SYN-0758,,
X0759,SYN-0759,,
X075A,SYN-075A,,
X075B,SYN-075B,,
X075C,SYN-075C,,
X075D,SYN-075D,,
X075E,SYN-075E,,
X075F,SYN-075F,,
X0760,SYN-0760,,
X0761,SYN-0761,,
X0762,SYN-0762,,
X0763,SYN-0763,,
X0764,SYN-0764,,
X0765,SYN-0765,,
X0766,SYN-0766,,
X0767,SYN-0767,,
X0768,SYN-0768,,
X0769,SYN-0769,,
X076A,SYN-076A,,
X076B,SYN-076B,,
X076C,SYN-076C,,
X076D,SYN-076D,,
X076E,SYN-076E,,
X076F,SYN-076F,,
X0770,SYN-0770,,
X0771,SYN-0771,,
X0772,SYN-0772,,
X0773,SYN-0773,,
X0774,SYN-0774,,
X0775,SYN-0775,,
X0776,SYN-0776,,
X0777,SYN-0777,,
X0778,SYN-0778,,
X0779,SYN-0779,,
X077A,SYN-077A,,
X077B,SYN-077B,,
X077C,SYN-077C,,
X077D,SYN-077D,,
X077E,SYN-077E,,
X077F,SYN-077F,,
X0780,SYN-0780,,
X0781,SYN-0781,,
X0782,SYN-0782,,
X0783,SYN-0783,,
X0784,SYN-0784,,
X0785,SYN-0785,,
X0786,SYN-0786,,
X0787,SYN-0787,,
X0788,SYN-0788,,
X0789,SYN-0789,,
X078A,SYN-078A,,
X078B,SYN-078B,,
X078C,SYN-078C,,
X078D,SYN-078D,,
X078E,SYN-078E,,
X078F,SYN-078F,,
X0790,SYN-0790,,
X0791,SYN-0791,,
X0792,SYN-0792,,
X0793,SYN-0793,,
X0794,SYN-0794,,
X0795,SYN-0795,,
X0796,SYN-0796,,
X0797,SYN-0797,,
X0798,SYN-0798,,
X0799,SYN-0799,,
X079A,SYN-079A,,
X079B,SYN-079B,,
X079C,SYN-079C,,
X079D,SYN-079D,,
X079E,SYN-079E,,
X079F,SYN-079F,,
X07A0,SYN-07A0,,
X07A1,SYN-07A1,,
X07A2,SYN-07A2,,
X07A3,SYN-07A3,,
X07A4,SYN-07A4,,
X07A5,SYN-07A5,,
X07A6,SYN-07A6,,
X07A7,SYN-07A7,,
X07A8,SYN-07A8,,
X07A9,SYN-07A9,,
X07AA,SYN-07AA,,
X07AB,SYN-07AB,,
X07AC,SYN-07AC,,
X07AD,SYN-07AD,,
X07AE,SYN-07AE,,
X07AF,SYN-07AF,,
X07B0,SYN-07B0,,
X07B1,SYN-07B1,,
X07B2,SYN-07B2,,
X07B3,SYN-07B3,,
X07B4,SYN-07B4,,
X07B5,SYN-07B5,,
X07B6,SYN-07B6,,
X07B7,SYN-07B7,,
X07B8,SYN-07B8,,
X07B9,SYN-07B9,,
X07BA,SYN-07BA,,
X07BB,SYN-07BB,,
X07BC,SYN-07BC,,
X07BD,SYN-07BD,,
X07BE,SYN-07BE,,
X07BF,SYN-07BF,,
X07C0,SYN-07C0,,
X07C1,SYN-07C1,,
X07C2,SYN-07C2,,
X07C3,SYN-07C3,,
X07C4,SYN-07C4,,
X07C5,SYN-07C5,,
X07C6,SYN-07C6,,
X07C7,SYN-07C7,,
X07C8,SYN-07C8,,
X07C9,SYN-07C9,,
X07CA,SYN-07CA,,
X07CB,SYN-07CB,,
X07CC,SYN-07CC,,
X07CD,SYN-07CD,,
X07CE,SYN-07CE,,
X07CF,SYN-07CF,,
X07D0,SYN-07D0,,
X07D1,SYN-07D1,,
X07D2,SYN-07D2,,
X07D3,SYN-07D3,,
X07D4,SYN-07D4,,
X07D5,SYN-07D5,,
X07D6,SYN-07D6,,
X07D7,SYN-07D7,,
X07D8,SYN-07D8,,
X07D9,SYN-07D9,,
X07DA,SYN-07DA,,
X07DB,SYN-07DB,,
X07DC,SYN-07DC,,
X07DD,SYN-07DD,,
X07DE,SYN-07DE,,
X07DF,SYN-07DF,,
X07E0,SYN-07E0,,
X07E1,SYN-07E1,,
X07E2,SYN-07E2,,
X07E3,SYN-07E3,,
